63,96
38,58
63,65
89,62
72,43
63,74
57,38
65,39
3,36
26,71
80,42
10,73
54,02
29,36
87,80
35,52
15,28
48,12
58,40
95,38
50,00
82,70
21,44
76,58
35,70
2,38
48,92
14,44
67,12
27,67
6,75
88,19
91,05
31,25
15,46
50,84
75,48
7,00
2,81
72,55
37,94
13,22
56,24
96,18
72,84
55,46
3,36
79,04
16,40
91,25
98,79
98,08
54,00
33,10
77,24
81,26
17,14
87,06
53,91
70,05
14,82
42,94
98,27
75,69
19,97
92,23
19,68
22,78
13,90
36,96
60,04
8,28
45,31
85,85
57,44
36,79
26,46
25,26
3,75
80,24
99,02
69,88
98,04
75,88
28,88
8,67
34,20
57,95
54,00
34,20
33,70
88,42
53,09
32,76
57,73
95,00
14,95
80,55
76,22
80,61
